iter	Logloss
0	0.6889675052
1	0.6850119746
2	0.6813552324
3	0.6776316443
4	0.6725286883
5	0.6682804463
6	0.6647190715
7	0.660800579
8	0.6567823721
9	0.6530969309
10	0.6494334465
11	0.6457113222
12	0.6417914989
13	0.6381606169
14	0.6344536626
15	0.6298645818
16	0.6257362366
17	0.6222295096
18	0.6191199547
19	0.616048458
20	0.6122844607
21	0.6093582331
22	0.606686082
23	0.6035592722
24	0.600345789
25	0.5973073383
26	0.5944844623
27	0.5914896588
28	0.588256969
29	0.5850472118
30	0.5817976663
31	0.5787183185
32	0.5753530902
33	0.572640663
34	0.5693674309
35	0.5659182792
36	0.5633682872
37	0.5604161994
38	0.5571192364
39	0.5540783017
40	0.5517496508
41	0.5493387622
42	0.54638836
43	0.5437279635
44	0.5405080928
45	0.5382973871
46	0.5351242686
47	0.5332430463
48	0.5302266409
49	0.5275953869
50	0.5251238623
51	0.5222051754
52	0.5194275435
53	0.5169769997
54	0.5139259516
55	0.5107690678
56	0.5079223278
57	0.5055668409
58	0.5032679979
59	0.5003923815
60	0.4977763863
61	0.4951009529
62	0.4929124699
63	0.4906405515
64	0.4879198296
65	0.4854624549
66	0.4830464208
67	0.4814755196
68	0.4791218957
69	0.4774200085
70	0.4752517079
71	0.4733437826
72	0.4713046939
73	0.4692925742
74	0.4668894479
75	0.4646792301
76	0.4625395841
77	0.4611619905
78	0.4592534442
79	0.4576276735
80	0.4556627495
81	0.4532739063
82	0.4513857642
83	0.4494001699
84	0.4476370257
85	0.4456446448
86	0.4437561035
87	0.4421368976
88	0.4404467206
89	0.43882818
90	0.4365779078
91	0.4350182289
92	0.4331354984
93	0.4307914113
94	0.4287450923
95	0.4265688519
96	0.4248714003
97	0.4227427549
98	0.4207569388
99	0.4189696645
100	0.4168764602
101	0.4149499494
102	0.4129597863
103	0.4112336802
104	0.4096624685
105	0.408288379
106	0.4066187836
107	0.404595486
108	0.4025992016
109	0.4010408978
110	0.3993440672
111	0.3979684697
112	0.3960942113
113	0.3943327527
114	0.3932529716
115	0.3918018341
116	0.3906192336
117	0.3889882731
118	0.3873606394
119	0.3861322625
120	0.3846437321
121	0.383143669
122	0.381504325
123	0.3799626994
124	0.3783954354
125	0.3769044211
126	0.3750998918
127	0.3735682909
128	0.3720910272
129	0.3709239294
130	0.3696177283
131	0.3683733164
132	0.3670955924
133	0.365729709
134	0.3644244615
135	0.3630324075
136	0.361632081
137	0.3602465696
138	0.3589457578
139	0.3576205719
140	0.3561672832
141	0.354542821
142	0.3535859086
143	0.3519046029
144	0.3505977364
145	0.3495348332
146	0.3485331203
147	0.3473927254
148	0.3459961913
149	0.3444098096
150	0.3439015233
151	0.3426400783
152	0.341539516
153	0.3402799562
154	0.3390501155
155	0.3380082596
156	0.336952653
157	0.3355292609
158	0.3345236224
159	0.3333127887
160	0.3319357273
161	0.3307068403
162	0.3295971626
163	0.3283977287
164	0.3273521689
165	0.32624085
166	0.3253918581
167	0.3245955622
168	0.3232325177
169	0.3221506962
170	0.3211949371
171	0.319834066
172	0.3186777692
173	0.3175478203
174	0.3163972012
175	0.3155046507
176	0.3141742085
177	0.3133197163
178	0.3123042528
179	0.311198035
180	0.3102745899
181	0.3092475935
182	0.3083042766
183	0.3072231869
184	0.3066259872
185	0.3057163593
186	0.3049138978
187	0.3037562259
188	0.3029768301
189	0.3023524617
190	0.3013898938
191	0.3004084077
192	0.2996727478
193	0.298846023
194	0.2980815089
195	0.2973899398
196	0.296152137
197	0.2953692591
198	0.2942396208
199	0.293448803
200	0.2924857694
201	0.2917471597
202	0.2909531039
203	0.2899041065
204	0.2892471801
205	0.2885136715
206	0.2874134862
207	0.2865078061
208	0.2857851871
209	0.2851231597
210	0.2844677415
211	0.2832292512
212	0.2824826351
213	0.2815701684
214	0.2808550901
215	0.2796717577
216	0.2787707795
217	0.2779903412
218	0.2771843311
219	0.276346118
220	0.275340169
221	0.2747150244
222	0.2736993612
223	0.2730225408
224	0.2721602861
225	0.2711218013
226	0.2703346873
227	0.2695173663
228	0.2689865911
229	0.2683219466
230	0.2675164467
231	0.2667498034
232	0.2660812555
233	0.2653713005
234	0.264361936
235	0.2636626044
236	0.2627706971
237	0.2619547733
238	0.2612316886
239	0.2608448295
240	0.2602202393
241	0.2595430419
242	0.258766263
243	0.2581880703
244	0.2573311828
245	0.2564232405
246	0.2557640741
247	0.2551379315
248	0.2543152654
249	0.2538157397
250	0.2531598557
251	0.2523899966
252	0.2517623014
253	0.2511369129
254	0.2506418006
255	0.2498731835
256	0.249671315
257	0.2490815895
258	0.24819587
259	0.2477229362
260	0.2468467979
261	0.2463755275
262	0.2457797915
263	0.2451027715
264	0.2444731025
265	0.2438066172
266	0.2432663274
267	0.2425779742
268	0.2419889805
269	0.2416087971
270	0.2410413831
271	0.240449484
272	0.2398016952
273	0.239424018
274	0.2385798166
275	0.2378235085
276	0.2372430313
277	0.2368611181
278	0.2360612514
279	0.2354869843
280	0.2348978131
281	0.2340957065
282	0.2333045338
283	0.2325946231
284	0.2319951168
285	0.2312577713
286	0.2308401951
287	0.2304121505
288	0.2299788497
289	0.2295148539
290	0.2287670845
291	0.2283300799
292	0.2279487432
293	0.2276219213
294	0.226959916
295	0.2263172948
296	0.2256394763
297	0.2249797998
298	0.2245412206
299	0.2240837452
300	0.2235384875
301	0.222815314
302	0.2221032741
303	0.221489862
304	0.2206969816
305	0.2201304547
306	0.2196155149
307	0.2190503631
308	0.2186208548
309	0.2181041851
310	0.2176661381
311	0.2172711838
312	0.2166124388
313	0.2161372872
314	0.2155956002
315	0.2152619473
316	0.214742838
317	0.2143529848
318	0.2138806942
319	0.2134144362
320	0.212941081
321	0.2123935167
322	0.2119817734
323	0.2111328036
324	0.2104892065
325	0.210010329
