iter	Logloss
177	0.3144010721
178	0.3135323192
179	0.312325655
180	0.3114701205
181	0.3105155368
182	0.3098058035
183	0.3084718128
184	0.3076129292
185	0.3068713476
186	0.3058329294
187	0.3047700705
188	0.3037570465
189	0.3026719426
190	0.3014551651
191	0.3005328955
192	0.2994873579
193	0.2987037925
194	0.29790916
195	0.2970200916
196	0.2959050023
197	0.2947764729
198	0.2939000241
199	0.2930124859
200	0.2923331815
201	0.2911343685
202	0.2903971783
203	0.2897400967
204	0.2887526889
205	0.2879749342
206	0.2868374226
207	0.2861037587
208	0.2853729115
209	0.2845515983
210	0.2838079985
211	0.2828662784
212	0.2817827713
213	0.2809503688
214	0.2803455619
215	0.2794594432
216	0.2784331344
217	0.2778238918
218	0.276943606
219	0.2759664669
220	0.2753786486
221	0.274859007
222	0.2742602104
223	0.2735634737
224	0.2731603135
225	0.2724929632
226	0.271713656
227	0.2708757977
228	0.2704373958
229	0.269433332
230	0.2686039459
231	0.2676641331
232	0.2671696197
233	0.2663255736
234	0.2653072712
235	0.2643070443
236	0.2639006903
237	0.2630424056
238	0.2625632619
239	0.2618612689
240	0.2611406459
241	0.2603651978
242	0.2596942103
243	0.2588681509
244	0.2580473257
245	0.2572321337
246	0.2563976909
247	0.2553975305
248	0.2547842957
249	0.2543377544
250	0.253718975
251	0.2529191527
252	0.2522899716
253	0.2516757388
254	0.2505980647
255	0.2498899504
256	0.249343118
257	0.2485563367
258	0.2479916506
259	0.2471039129
260	0.2467208241
261	0.2460243092
262	0.2453281048
263	0.2450075371
264	0.2442174734
265	0.2434249257
266	0.2427255941
267	0.2421847942
268	0.2415102582
269	0.2408331938
270	0.2400302443
271	0.2390634404
272	0.238466529
273	0.2378195829
274	0.2372886081
275	0.2366250282
276	0.2360850046
277	0.2352865796
278	0.2346704394
279	0.2339169258
280	0.2332667861
281	0.2326317499
282	0.2320953192
283	0.2315113156
284	0.2310537294
285	0.2304040998
286	0.2298797341
287	0.2292603559
288	0.2286020767
289	0.228071989
290	0.2274451588
291	0.2267188139
292	0.2260309042
293	0.2254058927
294	0.2249846791
295	0.2244302617
296	0.2237223248
297	0.2231853396
298	0.2225635218
299	0.2219805385
300	0.2213746448
301	0.2209089856
302	0.2206346822
303	0.2201427415
304	0.2198019249
305	0.2192097154
306	0.2187247165
307	0.2182730519
308	0.2177337159
309	0.2174824338
310	0.2170478466
311	0.2166021037
312	0.2160601505
313	0.2154868813
314	0.2148914781
315	0.2144793799
316	0.2139494253
317	0.2132834945
318	0.2127442027
319	0.2123247856
320	0.2116781279
321	0.2112662515
322	0.2108834732
323	0.2102625869
324	0.2098361392
325	0.2092659529
326	0.2087953922
327	0.2080643898
328	0.2075392701
329	0.2070679554
330	0.2066435703
331	0.2061374132
332	0.205723075
333	0.2052905061
334	0.2049308156
335	0.2044241706
336	0.2038932179
337	0.2033163337
338	0.2029372592
339	0.2025335001
340	0.2019398046
341	0.2013778243
342	0.200917
343	0.2004401628
344	0.1996750277
345	0.199331838
346	0.1989732787
347	0.1983773431
348	0.1979296485
349	0.1974771633
350	0.1969453235
